word,type,first_word_of_sentence_id
cricket,2,0
-,2,0
leicestershire,1,0
take,2,0
over,2,0
at,2,0
top,2,0
after,2,0
innings,2,0
victory,2,0
.,2,0
london,6,11
1996-08-30,2,11
west,11,11
indian,13,11
all-rounder,2,11
phil,4,11
simmons,5,11
took,2,11
four,2,11
for,2,11
38,2,11
on,2,11
friday,2,11
as,2,11
leicestershire,1,11
beat,2,11
somerset,1,11
by,2,11
an,2,11
innings,2,11
and,2,11
39,2,11
runs,2,11
in,2,11
two,2,11
days,2,11
to,2,11
take,2,11
over,2,11
at,2,11
the,2,11
head,2,11
of,2,11
the,2,11
county,2,11
championship,2,11
.,2,11
their,2,48
stay,2,48
on,2,48
top,2,48
",",2,48
though,2,48
",",2,48
may,2,48
be,2,48
short-lived,2,48
as,2,48
title,2,48
rivals,2,48
essex,1,48
",",2,48
derbyshire,1,48
and,2,48
surrey,1,48
all,2,48
closed,2,48
in,2,48
on,2,48
victory,2,48
while,2,48
kent,1,48
made,2,48
up,2,48
for,2,48
lost,2,48
time,2,48
in,2,48
their,2,48
rain-affected,2,48
match,2,48
against,2,48
nottinghamshire,1,48
.,2,48
after,2,85
bowling,2,85
somerset,1,85
out,2,85
for,2,85
83,2,85
on,2,85
the,2,85
opening,2,85
morning,2,85
at,2,85
grace,15,85
road,16,85
",",2,85
leicestershire,1,85
extended,2,85
their,2,85
first,2,85
innings,2,85
by,2,85
94,2,85
runs,2,85
before,2,85
being,2,85
bowled,2,85
out,2,85
for,2,85
296,2,85
with,2,85
england,6,85
discard,2,85
andy,4,85
caddick,5,85
taking,2,85
three,2,85
for,2,85
83,2,85
.,2,85
trailing,2,123
by,2,123
213,2,123
",",2,123
somerset,1,123
got,2,123
a,2,123
solid,2,123
start,2,123
to,2,123
their,2,123
second,2,123
innings,2,123
before,2,123
simmons,10,123
stepped,2,123
in,2,123
to,2,123
bundle,2,123
them,2,123
out,2,123
for,2,123
174,2,123
.,2,123
essex,1,147
",",2,147
however,2,147
",",2,147
look,2,147
certain,2,147
to,2,147
regain,2,147
their,2,147
top,2,147
spot,2,147
after,2,147
nasser,4,147
hussain,5,147
and,2,147
peter,4,147
such,5,147
gave,2,147
them,2,147
a,2,147
firm,2,147
grip,2,147
on,2,147
their,2,147
match,2,147
against,2,147
yorkshire,1,147
at,2,147
headingley,6,147
.,2,147
hussain,10,177
",",2,177
considered,2,177
surplus,2,177
to,2,177
england,6,177
's,2,177
one-day,2,177
requirements,2,177
",",2,177
struck,2,177
158,2,177
",",2,177
his,2,177
first,2,177
championship,2,177
century,2,177
of,2,177
the,2,177
season,2,177
",",2,177
as,2,177
essex,1,177
reached,2,177
372,2,177
and,2,177
took,2,177
a,2,177
first,2,177
innings,2,177
lead,2,177
of,2,177
82,2,177
.,2,177
by,2,211
the,2,211
close,2,211
yorkshire,1,211
had,2,211
turned,2,211
that,2,211
into,2,211
a,2,211
37-run,2,211
advantage,2,211
but,2,211
off-spinner,2,211
such,10,211
had,2,211
scuttled,2,211
their,2,211
hopes,2,211
",",2,211
taking,2,211
four,2,211
for,2,211
24,2,211
in,2,211
48,2,211
balls,2,211
and,2,211
leaving,2,211
them,2,211
hanging,2,211
on,2,211
119,2,211
for,2,211
five,2,211
and,2,211
praying,2,211
for,2,211
rain,2,211
.,2,211
at,2,250
the,2,250
oval,6,250
",",2,250
surrey,1,250
captain,2,250
chris,4,250
lewis,5,250
",",2,250
another,2,250
man,2,250
dumped,2,250
by,2,250
england,6,250
",",2,250
continued,2,250
to,2,250
silence,2,250
his,2,250
critics,2,250
as,2,250
he,2,250
followed,2,250
his,2,250
four,2,250
for,2,250
45,2,250
on,2,250
thursday,2,250
with,2,250
80,2,250
not,2,250
out,2,250
on,2,250
friday,2,250
in,2,250
the,2,250
match,2,250
against,2,250
warwickshire,1,250
.,2,250
he,2,291
was,2,291
well,2,291
backed,2,291
by,2,291
england,6,291
hopeful,2,291
mark,4,291
butcher,5,291
who,2,291
made,2,291
70,2,291
as,2,291
surrey,1,291
closed,2,291
on,2,291
429,2,291
for,2,291
seven,2,291
",",2,291
a,2,291
lead,2,291
of,2,291
234,2,291
.,2,291
derbyshire,1,316
kept,2,316
up,2,316
the,2,316
hunt,2,316
for,2,316
their,2,316
first,2,316
championship,2,316
title,2,316
since,2,316
1936,2,316
by,2,316
reducing,2,316
worcestershire,1,316
to,2,316
133,2,316
for,2,316
five,2,316
in,2,316
their,2,316
second,2,316
innings,2,316
",",2,316
still,2,316
100,2,316
runs,2,316
away,2,316
from,2,316
avoiding,2,316
an,2,316
innings,2,316
defeat,2,316
.,2,316
australian,3,350
tom,4,350
moody,5,350
took,2,350
six,2,350
for,2,350
82,2,350
but,2,350
chris,4,350
adams,5,350
",",2,350
123,2,350
",",2,350
and,2,350
tim,4,350
o'gorman,5,350
",",2,350
109,2,350
",",2,350
took,2,350
derbyshire,1,350
to,2,350
471,2,350
and,2,350
a,2,350
first,2,350
innings,2,350
lead,2,350
of,2,350
233,2,350
.,2,350
after,2,381
the,2,381
frustration,2,381
of,2,381
seeing,2,381
the,2,381
opening,2,381
day,2,381
of,2,381
their,2,381
