word,type,first_word_of_sentence_id
soccer,2,0
-,2,0
japan,6,0
get,2,0
lucky,2,0
win,2,0
",",2,0
china,10,0
in,2,0
surprise,2,0
defeat,2,0
.,2,0
nadim,4,12
ladki,5,12
al-ain,6,12
",",2,12
united,15,12
arab,17,12
emirates,16,12
1996-12-06,2,12
japan,6,12
began,2,12
the,2,12
defence,2,12
of,2,12
their,2,12
asian,11,12
cup,13,12
title,2,12
with,2,12
a,2,12
lucky,2,12
2-1,2,12
win,2,12
against,2,12
syria,6,12
in,2,12
a,2,12
group,2,12
c,2,12
championship,2,12
match,2,12
on,2,12
friday,2,12
.,2,12
but,2,45
china,6,45
saw,2,45
their,2,45
luck,2,45
desert,2,45
them,2,45
in,2,45
the,2,45
second,2,45
match,2,45
of,2,45
the,2,45
group,2,45
",",2,45
crashing,2,45
to,2,45
a,2,45
surprise,2,45
2-0,2,45
defeat,2,45
to,2,45
newcomers,2,45
uzbekistan,6,45
.,2,45
china,6,70
controlled,2,70
most,2,70
of,2,70
the,2,70
match,2,70
and,2,70
saw,2,70
several,2,70
chances,2,70
missed,2,70
until,2,70
the,2,70
78th,2,70
minute,2,70
when,2,70
uzbek,3,70
striker,2,70
igor,4,70
shkvyrin,5,70
took,2,70
advantage,2,70
of,2,70
a,2,70
misdirected,2,70
defensive,2,70
header,2,70
to,2,70
lob,2,70
the,2,70
ball,2,70
over,2,70
the,2,70
advancing,2,70
chinese,3,70
keeper,2,70
and,2,70
into,2,70
an,2,70
empty,2,70
net,2,70
.,2,70
oleg,4,112
shatskiku,5,112
made,2,112
sure,2,112
of,2,112
the,2,112
win,2,112
in,2,112
injury,2,112
time,2,112
",",2,112
hitting,2,112
an,2,112
unstoppable,2,112
left,2,112
foot,2,112
shot,2,112
from,2,112
just,2,112
outside,2,112
the,2,112
area,2,112
.,2,112
the,2,135
former,2,135
soviet,3,135
republic,2,135
was,2,135
playing,2,135
in,2,135
an,2,135
asian,11,135
cup,13,135
finals,2,135
tie,2,135
for,2,135
the,2,135
first,2,135
time,2,135
.,2,135
despite,2,152
winning,2,152
the,2,152
asian,11,152
games,13,152
title,2,152
two,2,152
years,2,152
ago,2,152
",",2,152
uzbekistan,6,152
are,2,152
in,2,152
the,2,152
finals,2,152
as,2,152
outsiders,2,152
.,2,152
two,2,170
goals,2,170
from,2,170
defensive,2,170
errors,2,170
in,2,170
the,2,170
last,2,170
six,2,170
minutes,2,170
allowed,2,170
japan,6,170
to,2,170
come,2,170
from,2,170
behind,2,170
and,2,170
collect,2,170
all,2,170
three,2,170
points,2,170
from,2,170
their,2,170
opening,2,170
meeting,2,170
against,2,170
syria,6,170
.,2,170
takuya,4,198
takagi,5,198
scored,2,198
the,2,198
winner,2,198
in,2,198
the,2,198
88th,2,198
minute,2,198
",",2,198
rising,2,198
to,2,198
head,2,198
a,2,198
hiroshige,4,198
yanagimoto,5,198
cross,2,198
towards,2,198
the,2,198
syrian,3,198
goal,2,198
which,2,198
goalkeeper,2,198
salem,4,198
bitar,5,198
appeared,2,198
to,2,198
have,2,198
covered,2,198
but,2,198
then,2,198
allowed,2,198
to,2,198
slip,2,198
into,2,198
the,2,198
net,2,198
.,2,198
it,2,236
was,2,236
the,2,236
second,2,236
costly,2,236
blunder,2,236
by,2,236
syria,6,236
in,2,236
four,2,236
minutes,2,236
.,2,236
defender,2,248
hassan,4,248
abbas,5,248
rose,2,248
to,2,248
intercept,2,248
a,2,248
long,2,248
ball,2,248
into,2,248
the,2,248
area,2,248
in,2,248
the,2,248
84th,2,248
minute,2,248
but,2,248
only,2,248
managed,2,248
to,2,248
divert,2,248
it,2,248
into,2,248
the,2,248
top,2,248
