word,type,first_word_of_sentence_id
eu,1,0
rejects,2,0
german,3,0
call,2,0
to,2,0
boycott,2,0
british,3,0
lamb,2,0
.,2,0
peter,4,9
blackburn,5,9
brussels,6,9
1996-08-22,2,9
the,2,9
european,7,9
commission,8,9
said,2,9
on,2,9
thursday,2,9
it,2,9
disagreed,2,9
with,2,9
german,3,9
advice,2,9
to,2,9
consumers,2,9
to,2,9
shun,2,9
british,3,9
lamb,2,9
until,2,9
scientists,2,9
determine,2,9
whether,2,9
mad,2,9
cow,2,9
disease,2,9
can,2,9
be,2,9
transmitted,2,9
to,2,9
sheep,2,9
.,2,9
germany,6,43
's,2,43
representative,2,43
to,2,43
the,2,43
european,7,43
union,8,43
's,2,43
veterinary,2,43
committee,2,43
werner,4,43
zwingmann,5,43
said,2,43
on,2,43
wednesday,2,43
consumers,2,43
should,2,43
buy,2,43
sheepmeat,2,43
from,2,43
countries,2,43
other,2,43
than,2,43
britain,6,43
until,2,43
the,2,43
scientific,2,43
advice,2,43
was,2,43
clearer,2,43
.,2,43
"""",2,74
we,2,74
do,2,74
n't,2,74
support,2,74
any,2,74
such,2,74
recommendation,2,74
because,2,74
we,2,74
do,2,74
n't,2,74
see,2,74
any,2,74
grounds,2,74
for,2,74
it,2,74
",",2,74
"""",2,74
the,2,74
commission,1,74
's,2,74
chief,2,74
spokesman,2,74
nikolaus,4,74
van,9,74
der,9,74
pas,5,74
told,2,74
a,2,74
news,2,74
briefing,2,74
.,2,74
he,2,107
said,2,107
further,2,107
scientific,2,107
study,2,107
was,2,107
required,2,107
and,2,107
if,2,107
it,2,107
was,2,107
found,2,107
that,2,107
action,2,107
was,2,107
needed,2,107
it,2,107
should,2,107
be,2,107
taken,2,107
by,2,107
the,2,107
european,7,107
union,8,107
.,2,107
he,2,132
said,2,132
a,2,132
proposal,2,132
last,2,132
month,2,132
by,2,132
eu,1,132
farm,2,132
commissioner,2,132
franz,4,132
fischler,5,132
to,2,132
ban,2,132
sheep,2,132
brains,2,132
",",2,132
spleens,2,132
and,2,132
spinal,2,132
cords,2,132
from,2,132
the,2,132
human,2,132
and,2,132
animal,2,132
food,2,132
chains,2,132
was,2,132
a,2,132
highly,2,132
specific,2,132
and,2,132
precautionary,2,132
move,2,132
to,2,132
protect,2,132
human,2,132
health,2,132
.,2,132
fischler,10,172
proposed,2,172
eu-wide,3,172
measures,2,172
after,2,172
reports,2,172
from,2,172
britain,6,172
and,2,172
france,6,172
that,2,172
under,2,172
laboratory,2,172
conditions,2,172
sheep,2,172
could,2,172
contract,2,172
bovine,11,172
spongiform,12,172
encephalopathy,13,172
(,2,172
bse,3,172
),2,172
--,2,172
mad,2,172
cow,2,172
disease,2,172
.,2,172
but,2,200
fischler,10,200
agreed,2,200
to,2,200
review,2,200
his,2,200
proposal,2,200
after,2,200
the,2,200
eu,1,200
's,2,200
standing,2,200
veterinary,2,200
committee,2,200
",",2,200
mational,2,200
animal,2,200
health,2,200
officials,2,200
",",2,200
questioned,2,200
if,2,200
such,2,200
action,2,200
was,2,200
justified,2,200
as,2,200
there,2,200
was,2,200
only,2,200
a,2,200
slight,2,200
risk,2,200
to,2,200
human,2,200
health,2,200
.,2,200
spanish,3,237
farm,2,237
minister,2,237
loyola,4,237
de,9,237
palacio,5,237
had,2,237
earlier,2,237
accused,2,237
fischler,10,237
at,2,237
an,2,237
eu,1,237
farm,2,237
ministers,2,237
',2,237
meeting,2,237
of,2,237
causing,2,237
unjustified,2,237
alarm,2,237
through,2,237
"""",2,237
dangerous,2,237
generalisation,2,237
.,2,237
"""",2,263
.,2,263
only,2,265
france,6,265
and,2,265
britain,6,265
backed,2,265
fischler,10,265
's,2,265
proposal,2,265
.,2,265
the,2,274
eu,1,274
's,2,274
scientific,2,274
veterinary,2,274
and,2,274
multidisciplinary,2,274
committees,2,274
are,2,274
due,2,274
to,2,274
re-examine,2,274
the,2,274
issue,2,274
early,2,274
next,2,274
month,2,274
and,2,274
make,2,274
recommendations,2,274
to,2,274
the,2,274
senior,2,274
veterinary,2,274
officials,2,274
.,2,274
sheep,2,300
have,2,300
long,2,300
been,2,300
known,2,300
to,2,300
contract,2,300
scrapie,2,300
",",2,300
a,2,300
brain-wasting,2,300
disease,2,300
similar,2,300
to,2,300
bse,3,300
which,2,300
is,2,300
believed,2,300
to,2,300
have,2,300
been,2,300
transferred,2,300
to,2,300
cattle,2,300
through,2,300
feed,2,300
containing,2,300
animal,2,300
waste,2,300
.,2,300
british,3,330
farmers,2,330
denied,2,330
on,2,330
thursday,2,330
there,2,330
was,2,330
any,2,330
danger,2,330
to,2,330
human,2,330
health,2,330
from,2,330
